Tag,SAP Tag,SAP Description,P&ID TAG,P&ID Number,Datasheet Tag,Tier,LOD,Inst Type,Manufacturer,Model number,ManufSerialNo.
FCV770710A,FCV770710A,FCV770710A CTRL VLV ON P7707A FEED,FCV770710A,M7707 Pump Skid ELD,FCV770710A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770712A,PX770712A,PX770712A PRESS XTR ON P7707A FEED,PX770712A,M7707 Pump Skid ELD,PX770712A,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770706A,PSV770706A,PSV770706A PRESS SFTY VLV ON HE7707A,PSV770706A,M7707 Pump Skid ELD,PSV770706A,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
P7707B,P7707B,P7707B M7707B FEED PUMP,P7707B,From Text,P7707B,1,LOD300,PUMP,SPECK PUMPEN,NPY-2251-MK,NPY-2251-MK
LSL770701B,LSL770701B,LSL770701B EMPTY SWITCH ON P7707B,LAL770701B,M7707 Pump Skid ELD,LAL770701B,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770702B,PX770702B,PX770702B PRESS XTR ON P7707B SUCTION,PI770702B,M7707 Pump Skid ELD,PX770702B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PX770704B,PX770704B,PX770704B PRESS XTR ON P7707B DISCHARGE,PI770704B,M7707 Pump Skid ELD,PX770704B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7707B,HE7707B,HE7707B M7707B HEAT EXCHANGER,HE7707B,M7707 Pump Skid ELD,HE7707B,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770707B,TX770707B,TX770707B TEMP XTR ON M7707B RECYCLE,TX770707B,M7707 Pump Skid ELD,TX770707B,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770705B,TCV770705B,TCV770705B TEMP CTRL VLV ON HE7707B,TCV770705B,M7707 Pump Skid ELD,TCV770705B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770709B,FX770709B,FX770709B FLOW XTR ON P7707B FEED,FX770709B,M7707 Pump Skid ELD,FX770709B,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770710B,FCV770710B,FCV770710B CTRL VLV ON P7707B FEED,FCV770710B,M7707 Pump Skid ELD,FCV770710B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770712B,PX770712B,PX770712B PRESS XTR ON P7707B FEED,PX770712B,M7707 Pump Skid ELD,PX770712B,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770706B,PSV770706B,PSV770706B PRESS SFTY VLV ON HE7707B,PSV770706B,M7707 Pump Skid ELD,PSV770706B,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
P7708A,P7708A,P7708A M7708A FEED PUMP,P7708A,M7708 Pump Skid ELD,P7708A,1,LOD300,PUMP,SPECK PUMPEN,PY-2273-XX,PY-2273-XX
LSL770801A,LSL770801A,LSL770801A EMPTY SWITCH ON P7708A,LAL770801A,M7708 Pump Skid ELD,LAL770801A,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770802A,PX770802A,PX770802A PRESS XTR ON P7708A SUCTION,PI770802A,M7708 Pump Skid ELD,PX770802A,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PX770804A,PX770804A,PX770804A PRESS XTR ON P7708A DISCHARGE,PI770804A,M7708 Pump Skid ELD,PX770804A,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7708A,HE7708A,HE7708A M7708A HEAT EXCHANGER,HE7708A,M7708 Pump Skid ELD,HE7708A,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770807A,TX770807A,TX770807A TEMP XTR ON M7707A RECYCLE,TX770807A,M7708 Pump Skid ELD,TX770807A,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770805A,TCV770805A,TCV770805A TEMP CTRL VLV ON HE7708A,TCV770805A,M7708 Pump Skid ELD,TCV770805A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770809A,FX770809A,FX770809A FLOW XTR ON P7708A FEED,FX770809A,M7708 Pump Skid ELD,FX770809A,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770810A,FCV770810A,FCV770810A CTRL VLV ON P7708A FEED,FCV770810A,M7708 Pump Skid ELD,FCV770810A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770812A,PX770812A,PX770812A PRESS XTR ON P7708A FEED,PX770812A,M7708 Pump Skid ELD,PX770812A,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770806A,PSV770806A,PSV770806A PRESS SFTY VLV ON HE7708A,PSV770806A,M7708 Pump Skid ELD,PSV770806A,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
P7708B,P7708B,P7708B M7708B FEED PUMP,P7708B,M7708 Pump Skid ELD,P7708B,1,LOD300,PUMP,SPECK PUMPEN,PY-2272-XX,PY-2272-XX
LSL770801B,LSL770801B,LSL770801B EMPTY SWITCH ON P7708B,LAL770801B,M7708 Pump Skid ELD,LAL770801B,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770802B,PX770802B,PX770802B PRESS XTR ON P7708B SUCTION,PI770802B,M7708 Pump Skid ELD,PX770802B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PX770804B,PX770804B,PX770804B PRESS XTR ON P7708B DISCHARGE,PI770804B,M7708 Pump Skid ELD,PX770804B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7708B,HE7708B,HE7708B M7707B HEAT EXCHANGER,HE7708B,M7708 Pump Skid ELD,HE7708B,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770807B,TX770807B,TX770807B TEMP XTR ON M7707B RECYCLE,TX770807B,M7708 Pump Skid ELD,TX770807B,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770805B,TCV770805B,TCV770805B TEMP CTRL VLV ON HE7708B,TCV770805B,M7708 Pump Skid ELD,TCV770805B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770809B,FX770809B,FX770809B FLOW XTR ON P7708B FEED 1,FX770809B,M7708 Pump Skid ELD,FX770809B,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770810B,FCV770810B,FCV770810B CTRL VLV ON P7708B FEED 1,FCV770810B,M7708 Pump Skid ELD,FCV770810B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770812B,PX770812B,PX770812B PRESS XTR ON P7708B FEED 1,PX770812B,M7708 Pump Skid ELD,PX770812B,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
FX770813B,FX770813B,FX770813B FLOW XTR ON P7708B FEED 2,FX770813B,M7708 Pump Skid ELD,FX770813B,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770814B,FCV770814B,FCV770814B CTRL VLV ON P7708B FEED 2,FCV770814B,M7708 Pump Skid ELD,FCV770814B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770816B,PX770816B,PX770816B PRESS XTR ON P7708B FEED 2,PX770816B,M7708 Pump Skid ELD,PX770816B,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770806B,PSV770806B,PSV770806B PRESS SFTY VLV ON HE7708B,PSV770806B,M7708 Pump Skid ELD,PSV770806B,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
FX777001,FX777001,FX777001 FLOW XTR ON M7770 FEED 1,FX777001,M7770 Feed Splitter Skid  ELD,FX777001,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,n/a
FCV777003,FCV777003,FCV777003 FLOW CTRL VLV TO M7221A FEED 1,FCV777003,M7770 Feed Splitter Skid  ELD,FCV777003,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX777005,PX777005,PX777005 PRESS XTR ON M7770 FEED 1,PX777005,M7770 Feed Splitter Skid  ELD,PX777005,2,LOD300,PRESSURE TRANSMITTER,UNKNOWN,Unknown,Unknown
FX777002,FX777002,FX777002 FLOW XTR ON M7770 FEED 2,FX777002,M7770 Feed Splitter Skid  ELD,FX777002,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV777004,FCV777004,FCV777004 FLOW CTRL VLV ON M7221B FEED 2,FCV777004,M7770 Feed Splitter Skid  ELD,FCV777004,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX777006,PX777006,PX777006 PRESS XTR ON M7770 FEED 2,PX777006,M7770 Feed Splitter Skid  ELD,PX777006,2,LOD300,PRESSURE TRANSMITTER,UNKNOWN,Unknown,Unknown
HE7720A,HE7720A,HE7720A SHELL AND TUBE REACTOR,HE7720A,M7720 Reactor Skid ELD,HE7720A,1,LOD300,HEAT EXCHANGER,ROBOX,PEP 141 / 1000,175367-S1A
TX772011,TX772011,TX772011 TEMP XTR ON HE7720A INTERNAL 3,TI772011,M7720 Reactor Skid ELD,TX772011,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B,TR21-B
TX772012,TX772012,TX772012 TEMP XTR ON HE7720A INTERNAL 2,TI772012,M7720 Reactor Skid ELD,TX772012,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B,TR21-B
TX772013,TX772013,TX772013 TEMP XTR ON HE7720A INTERNAL 1,TI772013,M7720 Reactor Skid ELD,TX772013,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B,TR21-B
TCV772009,TCV772009,TCV772009 TEMP CTRL VLV ON HE7720A,TCV772009,M7720 Reactor Skid ELD,TCV772009,2,LOD300,CONTROL VALVE,EQUILIBAR,GSD3SNT4B,GSD3SNT4B
PX772017,PX772017,PX772017 PRESS XTR ON HE7720A OUT,PI772017,M7720 Reactor Skid ELD,PX772017,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV772022,PSV772022,PSV772022 PRESS SFTY VLV ON HE7720A,PSV772022,M7720 Reactor Skid ELD,PSV772022,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
HE7720B,HE7720B,HE7720B SHELL AND TUBE REACTOR,HE7720B,M7720 Reactor Skid ELD,HE7720B,1,LOD300,HEAT EXCHANGER,ROBOX,PEP 141 / 1000,175367-S1B
LSL772019,LSL772019,LSL772019 OUT EMPTY SWITCH ON HE7720B,LAL772019,M7720 Reactor Skid ELD,LAL772019,2,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX772020,PX772020,PX772020 PRESS XTR ON HE7720B OUT,PI772020,M7720 Reactor Skid ELD,PX772020,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
TX772018,TX772018,TX772018 TEMP XTR ON HE7720B OUT,TI772018,M7720 Reactor Skid ELD,TX772018,2,LOD300,TEMP TRANSMITTER,UNKNOWN,Unknown,Unknown
TX772014,TX772014,TX772014 TEMP XTR ON HE7720B INTERNAL 1,TI772014,M7720 Reactor Skid ELD,TX772014,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B,TR21-B
TCV772010,TCV772010,TCV772010 TEMP CTRL VLV ON HE7720B,TCV772010,M7720 Reactor Skid ELD,TCV772010,2,LOD300,CONTROL VALVE,EQUILIBAR,GSD3SNT4B,GSD3SNT4B
PSV772023,PSV772023,PSV772023 PRESS SFTY VLV ON HE7720B,PSV772023,M7720 Reactor Skid ELD,PSV772023,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
HE7721A,HE7721A,HE7721A PLATE REACTOR,HE7721A,M7721 Reactor Skid ELD ,HE7721A,1,LOD300,HEAT EXCHANGER,CORNING,G1 SiC,RC16-354-1A/3A
TX772116,TX772116,TX772116 TEMP XTR ON HE7721A OUT,TI772116,M7721 Reactor Skid ELD ,TX772116,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV772109,TCV772109,TCV772109 TEMP CTRL VLV ON HE7721A,TCV772109,M7721 Reactor Skid ELD ,TCV772109,2,LOD300,CONTROL VALVE,EQUILIBAR,GSD3SNT4B,GSD3SNT4B
PX772117,PX772117,PX772117 PRESS XTR ON HE7721A OUT,PI772117,M7721 Reactor Skid ELD ,PX772117,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
LSL772125,LSL772125,LSL772125 OUT EMPTY SWITCH ON HE7721A,LAL772125,M7721 Reactor Skid ELD ,LAL772125,2,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PSV772122,PSV772122,PSV772122 PRESS SFTY VLV FOR HE7721A,PSV772122,M7721 Reactor Skid ELD ,PSV772122,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
HE7721B,HE7721B,HE7721B PLATE REACTOR,HE7721B,M7721 Reactor Skid ELD ,HE7721B,1,LOD300,HEAT EXCHANGER,CORNING,G1 SiC,RC16-354-2A/4A
TX772118,TX772118,TX772118 TEMP XTR ON HE7721B OUT,TI772118,M7721 Reactor Skid ELD ,TX772118,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV772110,TCV772110,TCV772110 TEMP CTRL VLV ON HE7721B,TCV772110,M7721 Reactor Skid ELD ,TCV772110,2,LOD300,CONTROL VALVE,EQUILIBAR,GSD3SNT4B,GSD3SNT4B
PX772120,PX772120,PX772120 PRESS XTR ON HE7721B OUT,PI772120,M7721 Reactor Skid ELD ,PX772120,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
LSL772119,LSL772119,LSL772119 OUT EMPTY SWITCH ON HE7721B,LAL772119,M7721 Reactor Skid ELD ,LAL772119,2,LOD300,SWITCH,UNKNOWN,Unknown,Unknown
PSV772123,PSV772123,PSV772123 PRESS SFTY VLV FOR HE7721B,PSV772123,M7721 Reactor Skid ELD ,PSV772123,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
V7722,V7722,V7722 RECEIVER VESSEL,V7722,M7722 RECEIVER Skid ELD,V7722,1,LOD300,RECEIVER VESSEL,BUCHIGLASUSTER,Type 4 / 3.0 lt,Type 4 / 3.0 lt
TX772204,TX772204,TX772204 TEMP XTR ON V7722 RECEIVER,TX772204,M7722 RECEIVER Skid ELD,TX772204,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-A-BTT,TR21-A-BTT
LX772201,LX772201,LX772201 LEVEL XTR ON V7722,LX772201,M7722 RECEIVER Skid ELD,LX772201,2,LOD300,LEVEL TRANSMITTER,VEGA,PS64.ACUTBHHX8MAXM,PS64.ACUTBHHX8MAXM
LSH772202,LSH772202,LSH772202 HIGH LVL SWITCH ON V7722,LAH772202,M7722 RECEIVER Skid ELD,LAH772202,2,LOD300,LEVEL SWITCH,UNKNOWN,Unknown,Unknown
PX772203,PX772203,PX772203 PRESS XTR ON V7722,PX772203,M7722 RECEIVER Skid ELD,PX772203,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSF772208,PSF772208,PSF772208 BURSTING DISC ON V7722,PSF772208,M7722 RECEIVER Skid ELD,PSF772208,1,LOD300,BURSTING DISC,REMBE,"ST-UKB-LS-0,3","ST-UKB-LS-0,3"
HE7750A,HE7750A,HE7750A WIPED FILM EVAPORATOR,HE7750A,M7750 WFE Skid ELD,HE7750A,1,LOD300,HEAT EXCHANGER,LCI,SUPER LAB VAP,SUPER LAB VAP LHSI-0005
FX775001,FX775001,FX775001 FLOW XTR ON HE7750A FEED,FX775001,M7750 WFE Skid ELD,FX775001,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,PROMASS A 300,"PROMASS A 300 DNO2/ 1/12"""
PX775002,PX775002,PX775002 PRESS XTR ON HE7750A FEED,PX775002,M7750 WFE Skid ELD,PX775002,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
LSH775011,LSH775011,LSH775011 HIGH LVL SWITCH ON HE7750A,LAH775011,M7750 WFE Skid ELD,LAH775011,2,LOD300,LEVEL SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
TX775013,TX775013,TX775013 TEMP XTR ON HE7750A VAPOUR,TX775013,M7750 WFE Skid ELD,TX775013,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TX775008,TX775008,TX775008 TEMP XTR ON HE7750A SEAL POT,TX775008,M7750 WFE Skid ELD,TX775008,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
LSL775007,LSL775007,LSL775007 SEAL POT LOW LVL ON HE7750A,LAL775007,M7750 WFE Skid ELD,LAL775007,2,LOD300,SWITCH,ENDRESS + HAUSER,Liquiphant M FLT50,Liquiphant M FLT50
PX775006,PX775006,PX775006 PRESS XTR ON HE7750A SEAL POT,PI775006,M7750 WFE Skid ELD,PX775006,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSF775012,PSF775012,PSF775012 BURSTING DISC ON HE7750A,Not on P&ID,Not on P&ID,PSF775012,1,LOD300,BURSTING DISC,ELFAB,DSC-OFS-065-SSE-NVS,DSC-OFS-065-SSE-NVS
PSV775025,PSV775025,PSV775025 PRESS SFTY VLV ON HE7750A HTF,PSV775025,M7750 WFE Skid ELD,PSV775025,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
TX775014,TX775014,TX775014 TEMP XTR ON HE7750A BOTTOM,TX775014,M7750 WFE Skid ELD,TX775014,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TX775015,TX775015,TX775015 TEMP XTR ON HE7750A COOL BOTTOM,TX775015,M7750 WFE Skid ELD,TX775015,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV775016,TCV775016,TCV775016 TEMP CTRL VLV ON HE7750A BOT,TCV775016,M7750 WFE Skid ELD,TCV775016,2,LOD300,CONTROL VALVE,EQUILIBAR,GSD3SNT4B,GSD3SNT4B
FX775017,FX775017,FX775017 FLOW XTR ON HE7750A BOTTOM,FX775017,M7750 WFE Skid ELD,FX775017,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,PROMASS A 300,"PROMASS A 300 DNO2/ 1/12"""
PSV775027,PSV775027,PSV775027 PRESS SFTY VLV ON HE7750C HTF,PSV775027,M7750 WFE Skid ELD,PSV775027,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
HE7750B,HE7750B,HE7750B WFE CONDENSER,HE7750B,M7750 WFE Skid ELD,HE7750B,1,LOD300,HEAT EXCHANGER,EXERGY,95 Series Sanitary,95 Series Sanitary 03218-01
PX775018,PX775018,PX775018 PRESS XTR ON HE7750B,PI775018,M7750 WFE Skid ELD,PX775018,1,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
TX775020,TX775020,TX775020 TEMP XTR ON HE7750B VAP OUT,TX775020,M7750 WFE Skid ELD,TX775020,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
